Brand Name	Product Name	Category	Average Rating	Number of Reviews
DERMAdoctor	DERMAdoctor KP Duty® Body Scrub	Bath-and-Body-Soap	4.5039	1020
L’Occitane	L’Occitane Almond Eco-Refill Combo Pack	Bath-and-Body-Soap	5	2
L’Occitane	L’Occitane Cleansing And Softening Shower Oil With Almond Oil	Bath-and-Body-Soap	4.4568	1285
boscia	boscia Baby Soft Foot Peel	Bath-and-Body-Soap	4.2281	172
Herbivore	Herbivore Coco Rose Coconut Oil Body Polish	Bath-and-Body-Soap	4.5234	107
philosophy	"philosophy Amazing Grace Shampoo, Bath & Shower Gel"	Bath-and-Body-Soap	4.6473	1344
Fresh	Fresh Brown Sugar Body Polish	Bath-and-Body-Soap	4.4403	770
Sol de Janeiro	Sol de Janeiro Brazilian 4 Play Moisturizing Shower Cream-Gel	Bath-and-Body-Soap	4.382	89
Josie Maran	Josie Maran Argan Sugar Balm Body Scrub	Bath-and-Body-Soap	4.5429	70
Jack Black	Jack Black Performance Remedy™ Turbo Wash™  Energizing Cleanser for Hair & Body	Bath-and-Body-Soap	4.7753	89
philosophy	"philosophy Vanilla Birthday Cake Shampoo, Shower Gel & Bubble Bath"	Bath-and-Body-Soap	4.1958	526
philosophy	"philosophy Senorita Margarita Shampoo, Shower Gel & Bubble Bath"	Bath-and-Body-Soap	4.5994	342
Herbivore	Herbivore Bamboo Charcoal Detoxifying Soap Bar	Bath-and-Body-Soap	4.5306	49
philosophy	philosophy Melon Daiquiri	Bath-and-Body-Soap	4.5077	195
philosophy	"philosophy Coconut Frosting Shampoo, Shower Gel & Bubble Bath"	Bath-and-Body-Soap	4.3355	301
Kopari	Kopari Coconut Crush Scrub	Bath-and-Body-Soap	3.92	25
philosophy	philosophy Pure Grace Foaming Bath and Shower Gel	Bath-and-Body-Soap	4.6586	372
Fresh	Fresh Sugar Lemon Shower Gel	Bath-and-Body-Soap	4.4475	257
Fresh	Fresh Seaberry Exfoliating Soap	Bath-and-Body-Soap	4.5621	153
Jack Black	"Jack Black All-Over Wash For Face, Hair & Body"	Bath-and-Body-Soap	4.7034	118
BVLGARI	BVLGARI Eau Parfumée Au Thé Blanc Shampoo And Shower Gel	Bath-and-Body-Soap	4.7143	14
YUNI	YUNI SHOWER SHEETS Large Body Wipes	Bath-and-Body-Soap	4.7391	23
First Aid Beauty	First Aid Beauty Cleansing Body Polish with Active Charcoal	Bath-and-Body-Soap	4.0606	66
L’Occitane	L’Occitane Almond Exfoliating And Smoothing Delicious Paste	Bath-and-Body-Soap	4.5417	24
L’Occitane	L’Occitane Shea Butter Extra Gentle Soap	Bath-and-Body-Soap	4.7189	498
L’Occitane	L’Occitane Lavender Harvest Foaming Bath	Bath-and-Body-Soap	4.2658	79
Fresh	Fresh Rice Sake Bath	Bath-and-Body-Soap	4.3456	136
Clarins	Clarins Exfoliating Body Scrub	Bath-and-Body-Soap	4.6667	9
Murad	Murad Acne Body Wash	Bath-and-Body-Soap	4.05	20
Fresh	Fresh Hesperides Grapefruit Bath & Shower Gel	Bath-and-Body-Soap	4.5413	109
Moroccanoil	Moroccanoil Shower Gel	Bath-and-Body-Soap	4.8571	8
philosophy	philosophy Raspberry Sorbet	Bath-and-Body-Soap	4.2227	211
Jack Black	Jack Black Turbo Body Bar™ Scrubbing Soap	Bath-and-Body-Soap	4.9167	12
Caudalie	Caudalie Crushed Cabernet Scrub	Bath-and-Body-Soap	4.5105	143
Fresh	Fresh Citron de Vigne Shower Gel	Bath-and-Body-Soap	4.6711	76
TOCCA	TOCCA Bianca Esfoliante da Corpo - Nourishing Body Scrub	Bath-and-Body-Soap	4.7778	18
YUNI	YUNI FLASH BATH No-Rinse Body Cleansing Foam	Bath-and-Body-Soap	4.8333	6
Moroccanoil	Moroccanoil Shower Milk	Bath-and-Body-Soap	3	1
OLEHENRIKSEN	OLEHENRIKSEN Rub n’ Buff™ Transforming Salt Scrub	Bath-and-Body-Soap	3.4286	49
Herbivore	Herbivore Pink Clay Gentle Cleanse Clay Soap Bar	Bath-and-Body-Soap	4.3582	67
Fresh	Fresh Sugar Lychee Shower Gel	Bath-and-Body-Soap	4.3768	69
Fresh	Fresh Hesperides Grapefruit Oval Soap	Bath-and-Body-Soap	4.4457	92
philosophy	"philosophy Unconditional Love Shampoo, Bath & Shower Gel"	Bath-and-Body-Soap	4.6111	180
TOM FORD	TOM FORD Oud Wood Soap	Bath-and-Body-Soap	5	5
Fresh	Fresh Sugar Lemon Soap	Bath-and-Body-Soap	4.5449	156
Fresh	Fresh Brown Sugar Bath & Shower Gel	Bath-and-Body-Soap	4.4286	77
NEST	NEST Grapefruit Liquid Hand Soap	Bath-and-Body-Soap	5	6
Origins	Origins Gloomaway™ Grapefruit Body Wash And Bubble Bath	Bath-and-Body-Soap	4	12
Origins	Origins Clear Improvement Purifying Charcoal Body Wash	Bath-and-Body-Soap	4.1765	17
Fresh	Fresh Cocoa Body Exfoliant	Bath-and-Body-Soap	3.95	60
